VERSION,CAMERA_NUMBER,VIDEO_NAME,FRAMENUMBER,CLASS,SCORE_CLASS,X1_ORGAN,Y1_ORGAN,X2_ORGAN,Y2_ORGAN,AREA_CLASS,FEATURE,SCORE_FEATURE,AREA_FEATURE
2023-06-05,CAM7,CAM7_20220203_092129.avi,0,Tail,0.97,68.0,1120.0,165.0,1307.0,18139.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,1,Tail,0.98,66.0,1120.0,164.0,1307.0,18326.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,2,Tail,0.95,56.0,1120.0,160.0,1307.0,19448.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,3,Tail,0.94,41.0,1119.0,156.0,1303.0,21160.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,4,Tail,0.98,32.0,1120.0,151.0,1298.0,21182.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,5,Tail,0.96,30.0,1117.0,144.0,1296.0,20406.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,6,Tail,0.93,29.0,1122.0,145.0,1281.0,18444.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,7,Tail,0.96,31.0,1124.0,147.0,1266.0,16472.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,8,Tail,0.95,31.0,1119.0,154.0,1260.0,17343.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,9,Tail,0.97,31.0,1119.0,159.0,1260.0,18048.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,10,Tail,0.97,34.0,1119.0,169.0,1260.0,19035.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,11,Tail,0.95,46.0,1120.0,180.0,1260.0,18760.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,12,Tail,0.98,54.0,1116.0,189.0,1264.0,19980.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,13,Tail,0.96,68.0,1119.0,202.0,1264.0,19430.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,14,Tail,0.95,78.0,1120.0,209.0,1269.0,19519.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,15,Tail,0.94,91.0,1122.0,221.0,1274.0,19760.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,16,Tail,0.94,103.0,1121.0,230.0,1279.0,20066.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,17,Tail,0.95,112.0,1123.0,237.0,1281.0,19750.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,18,Tail,0.93,118.0,1122.0,245.0,1279.0,19939.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,19,Tail,0.97,122.0,1128.0,254.0,1278.0,19800.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,20,Tail,0.95,130.0,1127.0,266.0,1277.0,20400.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,21,Tail,0.97,140.0,1130.0,281.0,1276.0,20586.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,22,Tail,0.96,155.0,1130.0,297.0,1280.0,21300.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,23,Tail,0.97,171.0,1133.0,311.0,1282.0,20860.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,24,Tail,0.98,185.0,1136.0,329.0,1288.0,21888.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,25,Tail,0.97,205.0,1132.0,352.0,1293.0,23667.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,26,Tail,0.93,229.0,1130.0,366.0,1299.0,23153.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,27,Tail,0.96,254.0,1130.0,381.0,1299.0,21463.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,28,Tail,0.95,275.0,1126.0,399.0,1301.0,21700.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,29,Tail,0.94,294.0,1121.0,406.0,1302.0,20272.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,30,Tail,0.96,309.0,1124.0,413.0,1302.0,18512.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,31,Tail,0.95,317.0,1121.0,413.0,1300.0,17184.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,32,Tail,0.97,312.0,1120.0,412.0,1300.0,18000.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,33,Tail,0.94,300.0,1122.0,406.0,1298.0,18656.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,34,Tail,0.93,280.0,1115.0,400.0,1292.0,21240.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,35,Tail,0.93,257.0,1114.0,389.0,1282.0,22176.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,36,Tail,0.95,241.0,1114.0,380.0,1270.0,21684.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,37,Tail,0.97,234.0,1109.0,376.0,1253.0,20448.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,38,Tail,0.97,233.0,1107.0,377.0,1236.0,18576.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,39,Tail,0.95,241.0,1106.0,385.0,1225.0,17136.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,40,Tail,0.98,254.0,1101.0,395.0,1223.0,17202.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,41,Tail,0.94,262.0,1096.0,407.0,1223.0,18415.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,42,Tail,0.98,270.0,1093.0,418.0,1228.0,19980.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,43,Tail,0.94,280.0,1094.0,430.0,1236.0,21300.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,44,Tail,0.98,293.0,1095.0,439.0,1245.0,21900.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,45,Tail,0.93,316.0,1101.0,448.0,1248.0,19404.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,46,Tail,0.93,340.0,1095.0,457.0,1253.0,18486.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,47,Tail,0.93,359.0,1094.0,463.0,1255.0,16744.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,48,Tail,0.95,372.0,1094.0,461.0,1252.0,14062.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,49,Tail,0.9,367.0,1094.0,447.0,1247.0,12240.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,50,Tail,0.62,337.0,1074.0,427.0,1243.0,15210.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,51,Tail,0.89,299.0,1065.0,418.0,1227.0,19278.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,52,Tail,0.96,263.0,1057.0,399.0,1207.0,20400.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,53,Tail,0.94,238.0,1046.0,382.0,1181.0,19440.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,54,Tail,0.99,225.0,1041.0,372.0,1156.0,16905.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,55,Tail,0.98,226.0,1034.0,371.0,1137.0,14935.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,56,Tail,0.97,237.0,1029.0,377.0,1123.0,13160.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,57,Tail,0.98,261.0,1018.0,388.0,1110.0,11684.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,58,Tail,0.94,290.0,1016.0,403.0,1103.0,9831.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,59,Tail,0.93,310.0,1018.0,421.0,1104.0,9546.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,60,Tail,0.94,327.0,1016.0,440.0,1110.0,10622.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,61,Tail,0.93,347.0,1022.0,459.0,1120.0,10976.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,62,Tail,0.95,364.0,1027.0,481.0,1131.0,12168.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,63,Tail,0.93,375.0,1034.0,495.0,1146.0,13440.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,64,Tail,0.93,387.0,1041.0,517.0,1158.0,15210.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,65,Tail,0.94,400.0,1047.0,535.0,1173.0,17010.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,66,Tail,0.97,417.0,1055.0,552.0,1182.0,17145.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,67,Tail,0.98,428.0,1057.0,570.0,1190.0,18886.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,68,Tail,0.94,441.0,1062.0,585.0,1198.0,19584.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,69,Tail,0.98,454.0,1067.0,596.0,1205.0,19596.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,70,Tail,0.97,475.0,1076.0,619.0,1220.0,20736.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,71,Tail,0.98,500.0,1083.0,631.0,1233.0,19650.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,72,Tail,0.95,528.0,1085.0,647.0,1242.0,18683.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,73,Tail,0.93,551.0,1086.0,657.0,1245.0,16854.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,74,Tail,0.96,562.0,1089.0,664.0,1244.0,15810.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,75,Tail,0.95,558.0,1086.0,670.0,1240.0,17248.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,76,Tail,0.98,554.0,1083.0,678.0,1231.0,18352.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,77,Tail,0.95,554.0,1081.0,685.0,1218.0,17947.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,78,Tail,0.97,560.0,1080.0,699.0,1204.0,17236.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,79,Tail,0.94,577.0,1075.0,714.0,1189.0,15618.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,80,Tail,0.96,600.0,1071.0,729.0,1178.0,13803.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,81,Tail,0.96,621.0,1069.0,742.0,1174.0,12705.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,82,Tail,0.97,636.0,1066.0,759.0,1174.0,13284.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,83,Tail,0.96,649.0,1066.0,772.0,1177.0,13653.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,84,Tail,0.95,658.0,1065.0,786.0,1184.0,15232.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,85,Tail,0.95,677.0,1059.0,801.0,1185.0,15624.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,86,Tail,0.96,692.0,1059.0,815.0,1184.0,15375.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,87,Tail,0.95,699.0,1064.0,823.0,1185.0,15004.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,88,Tail,0.97,702.0,1068.0,830.0,1193.0,16000.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,89,Tail,0.96,713.0,1069.0,839.0,1200.0,16506.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,90,Tail,0.93,729.0,1057.0,850.0,1197.0,16940.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,91,Tail,0.94,739.0,1055.0,859.0,1178.0,14760.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,92,Tail,0.98,728.0,1058.0,866.0,1161.0,14214.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,93,Tail,0.96,727.0,1063.0,871.0,1155.0,13248.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,94,Tail,0.96,735.0,1062.0,878.0,1173.0,15873.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,95,Tail,0.98,749.0,1055.0,883.0,1183.0,17152.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,96,Tail,0.96,772.0,1052.0,891.0,1181.0,15351.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,97,Tail,0.96,764.0,1057.0,896.0,1176.0,15708.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,98,Tail,0.96,758.0,1060.0,895.0,1174.0,15618.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,99,Tail,0.97,760.0,1060.0,893.0,1177.0,15561.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,100,Tail,0.95,759.0,1061.0,887.0,1186.0,16000.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,101,Tail,0.95,757.0,1060.0,881.0,1192.0,16368.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,102,Tail,0.95,757.0,1060.0,877.0,1190.0,15600.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,103,Tail,0.97,747.0,1058.0,878.0,1176.0,15458.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,104,Tail,0.92,738.0,1056.0,876.0,1165.0,15042.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,105,Tail,0.89,738.0,1056.0,876.0,1154.0,13524.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,106,Tail,0.94,743.0,1055.0,880.0,1153.0,13426.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,107,Tail,0.96,749.0,1053.0,887.0,1157.0,14352.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,108,Tail,0.95,758.0,1054.0,898.0,1170.0,16240.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,109,Tail,0.98,771.0,1054.0,909.0,1175.0,16698.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,110,Tail,0.96,786.0,1057.0,918.0,1178.0,15972.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,111,Tail,0.98,799.0,1057.0,931.0,1179.0,16104.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,112,Tail,0.96,818.0,1057.0,936.0,1182.0,14750.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,113,Tail,0.94,834.0,1058.0,950.0,1185.0,14732.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,114,Tail,0.95,844.0,1055.0,958.0,1187.0,15048.0,None,0.0,0.0
